Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
411,295,25.02605119,112.2824497,4376,1230.262,0.9636677781,202.71952,42.46073662,-88.41298901,0.977818161,0.6392655325,0.108904215,0.02038796193,0.002900051089,-0.000012957961,0.000613827264,-0.000019768545,1
382,253,106.7619161,214.7903723,8434,1688.316,0.9628177225,186.3679592,92.81154566,9.975009208,0.8671760987,0.5538005512,0.07274793582,0.07029158156,0.02079040073,0.000792473212,0.005555226536,0.000189228664,1
377,296,24.21957672,133.9620811,1134,398.723,0.9103644388,78.48094898,29.65413523,-67.27578882,0.9258662599,0.465616193,0.02498716078,0.024606876,0.006347320733,0.000074377026,0.000994127583,0.000026443484,1
376,266,35.11248186,211.8838897,1378,608.894,0.9532936755,65.24384817,52.77982013,-52.81438594,0.587860385,0.4550265023,0.03153134768,0.03104185017,0.007231712701,0.000106539502,0.001146197359,0.000046575266,1
374,255,120.5282824,131.4183739,23283,3891.193,0.9806766127,297.6557469,230.3222102,-82.623016,0.6334456188,0.452135914,0.0372430499,0.03812225101,0.00858390177,0.00015337389,0.001455553913,0.000073431916,1
368,268,123.6092348,199.583782,12258,2661.297,0.9782508248,213.7632334,110.5085553,12.48081556,0.8560052773,0.4127852978,0.0250009443,0.02346585199,0.004460444187,0.000045597294,0.000628577198,0.000039550053,1
374,305,136.6998252,71.8087659,16587,2836.006,0.9740842717,314.0574929,117.7840372,0.0479886155,0.9270087385,0.3991437086,0.008028534905,0.0159468617,0.002476487343,0.000015362989,0.000194348722,0.000004540829,1
371,320,134.8436585,68.32867763,17756,2705.991,0.9695279056,332.3908576,117.1800401,4.038239763,0.9357979159,0.3927481435,0.005195340665,0.01536036352,0.001818251999,0.000009603202,0.000130395656,0.00000144164,1
368,384,170.8599278,64.14878734,17441,2387.039,0.9615353118,278.9834297,114.5286244,15.05523947,0.9118510344,0.3848793059,0.004156439399,0.01350544838,0.002046992738,0.000008349087,0.000121766893,0.00000218582,1
375,330,140.9237265,71.08262967,21554,3176.031,0.973148517,340.7082682,139.0269596,7.401578743,0.9129583343,0.3676282998,0.002422200867,0.01020674261,0.003976633567,0.000024975156,0.000184054824,0.000001816479,1
288,392,221.5528565,113.898684,32522,5187.453,0.9848127634,300.6630645,280.5569856,-30.34860317,0.3595455403,0.3309628735,0.000033710391,0.003451507878,0.00051644671,0.000000662117,0.000002954221,-0.000000147775,1
374,322,34.77911975,90.83398158,4885,895.661,0.9234778605,125.6113467,62.08570901,79.02722047,0.8693093983,0.3711752974,0.003988042747,0.01062084447,0.003187765924,0.000018272406,0.000197965243,0.000004713769,1
368,326,149.4234139,131.5994209,39720,2722.83,0.9326747384,312.6044729,298.3732332,46.68131062,0.2982901135,0.320820248,0.003917857608,0.006687363206,0.000941365554,0.000002034075,0.000049267944,0.000002191447,1
370,318,144.6463048,131.7118248,37210,6324.951,0.9883115963,303.7197217,286.843145,46.52366731,0.32870193,0.3214754277,0.003819390289,0.008662211403,0.001090085309,0.00000323976,0.000057542671,0.000000815315,1
370,316,145.0223133,130.6553128,36346,3641.063,0.9655483442,304.7545945,284.9244474,41.28848186,0.3548301806,0.3288731439,0.003840658428,0.008222838218,0.001316175318,0.000004326394,0.000075778672,0.000001118663,1
375,303,146.1971625,136.0107649,36229,5021.496,0.9819448971,306.9470463,270.4453645,44.8308312,0.4729644669,0.3197148463,0.005518366549,0.00972907607,0.001319686101,0.000004404327,0.000093009718,0.000001938369,1
382,302,146.1105858,138.7858222,35746,5802.442,0.9866581609,307.1626355,272.9077092,54.84121522,0.4589162807,0.3295838477,0.007324686445,0.01070809573,0.001886944028,0.000007502789,0.000161133798,0.000003989785,1
377,304,147.0271297,135.9441999,36344,5533.176,0.9850825834,300.385176,283.8326573,53.1241851,0.3273715633,0.3279703376,0.005513517491,0.01014715534,0.001222495285,0.00000404563,0.000090746987,0.000002057203,1
376,305,147.0922317,135.7758918,34229,4595.268,0.9796304054,299.987982,274.0147889,14.23325636,0.4070200558,0.3331308464,0.004460121383,0.007302264447,0.000720558274,0.000001627604,0.000047096755,0.000000546999,1
373,298,146.2308349,140.6076234,35155,5873.482,0.9871942305,309.003508,265.2784098,60.44383623,0.5128195318,0.3178151278,0.005463819957,0.004771950216,0.000436290626,0.000000627668,0.000028700423,-0.000000042533,1
259,289,157.7591613,146.2454194,25324,4656.225,0.9853217509,303.6591712,244.3948015,54.2157489,0.593501878,0.3649393766,0.002937393551,0.00116818777,0.000534478967,0.000000081085,-0.000028570811,0.000000776225,1
276,293,125.5535947,202.146262,15356,2752.169,0.974523617,303.9542384,153.3914897,-19.60339584,0.8633221371,0.4449085724,0.009739131514,0.006671184971,0.000350480447,-0.000000252619,-0.000034246822,0.000006490404,1
292,290,155.2753134,155.801449,22498,3795.988,0.9803797691,347.7347363,259.4163588,39.6096909,0.6659258236,0.4841562833,0.0145605173,0.01446419703,0.001782507526,-0.00000901445,-0.00016365473,0.000045921801,1
391,297,152.9964015,169.4538432,20842,3313.619,0.9761469394,339.7578054,233.0660043,11.98110699,0.7276233227,0.5313888738,0.000163688848,0.05632534798,0.000290618321,0.000000907613,0.000002333935,0.000022247478,1
390,311,150.0487071,170.8749487,21927,3318.24,0.9749750342,340.2426742,233.7089403,4.433423782,0.7267623696,0.515587829,0.002425267629,0.04351257181,0.000658173195,0.000002644038,-0.000022018039,0.000009518928,1
361,306,136.5552421,164.6736626,20917,3388.029,0.9771010788,305.0997446,182.1191091,-18.95865747,0.8023032754,0.4390574783,0.003498633732,0.02209519301,0.000892123345,0.000003945816,-0.000047358241,-0.000001444603,1
273,316,139.7144415,156.079751,22006,3402.412,0.9761121441,313.993896,191.9389065,-19.62014464,0.79141264,0.4062901995,0.007118466385,0.01599700278,0.004762057861,-0.000040500499,-0.000401679438,-0.000015760664,1
284,324,139.7733303,157.4852323,21635,2839.825,0.9662880707,307.3076643,183.5356615,-18.29728353,0.8020644409,0.3986136977,0.01289057059,0.02300896793,0.005463522014,-0.000060137847,-0.000592230013,-0.000006596625,1
229,298,134.9267219,139.7047644,19310,2497.972,0.9611118748,306.5465022,160.9244009,-15.7894593,0.851127404,0.4140536778,0.02499564853,0.01922352385,0.005368707792,-0.000054491224,-0.000848733016,-0.000024373557,1
263,289,138.5427022,142.3660877,20842,2998.759,0.9708749871,299.1849233,186.1810775,-13.11291006,0.7827833564,0.3777458721,0.02210366324,0.02512929549,0.004222544894,0.00001156614,-0.000118057221,-0.000015817657,1
196,283,26.98345588,40.57996324,1088,322.155,0.8682626245,57.48378579,41.91340091,-83.76207406,0.6843706214,0.5368988969,0.04996047607,0.07396315848,0.02645841457,-0.000563861002,-0.003179021664,0.001110215605,1
247,280,19.13763066,151.8597561,1148,638.093,0.9645689689,85.01078743,41.53881027,-82.99833488,0.8724911731,0.6288959053,0.03903057274,0.08078989517,0.03425814458,-0.001443934358,-0.002118283948,0.001847793579,1
251,234,107.583376,207.0511014,7808,1807.943,0.9699821073,167.6794667,83.71955936,13.93449729,0.866438789,0.5810967858,0.1036636727,0.007912007685,0.002424984515,0.000010151181,0.000599961929,-0.000003493104,1
249,246,62.3239645,51.23496055,4056,893.819,0.9362017677,98.20209847,83.75967252,10.23754729,0.5220226944,0.4837846132,0.02131472119,0.008408598877,0.000978763164,0.000002247268,0.000101583812,-0.000009956285,1
